loss,accuracy,val_loss,val_accuracy,lr
0.9638,0.5747,0.6863,0.8523,0.0001
0.6293,0.7328,0.4961,0.8636,0.0001
0.5264,0.7837,0.4376,0.8807,0.0001
0.4754,0.8042,0.3946,0.8636,0.0001
0.4372,0.8328,0.3616,0.892,0.0001
0.4067,0.835,0.35,0.892,0.0001
0.3853,0.8513,0.3167,0.8693,0.0001
0.3695,0.8537,0.3127,0.8864,5e-05
0.3586,0.8635,0.3062,0.892,5e-05
0.3501,0.8685,0.3052,0.8864,2.5e-05
0.3433,0.8663,0.301,0.892,2.5e-05
0.341,0.8735,0.3029,0.8864,1.25e-05
0.3419,0.8695,0.303,0.8977,1.25e-05
0.3396,0.8733,0.303,0.8864,1.25e-05
0.3321,0.8743,0.295,0.8977,1.25e-05
0.3328,0.8727,0.2972,0.892,6.25e-06
0.332,0.8745,0.2972,0.892,6.25e-06
0.3314,0.8733,0.2974,0.892,3.125e-06
0.3305,0.8785,0.2971,0.892,3.125e-06
0.3288,0.8735,0.2969,0.892,1.5625e-06
0.334,0.8733,0.2967,0.892,1.5625e-06
0.3313,0.876,0.2968,0.892,1e-06
0.327,0.8787,0.2966,0.892,1e-06
0.3295,0.8778,0.2966,0.892,1e-06
0.3257,0.8775,0.2967,0.892,1e-06
